invoice_no,invoice_date,vendor_gstin,vendor_name,expense_code,taxable_value,cgst,sgst,igst,invoice_total
NIM/26-27/1018,10-06-2026,29TIZCF2290F3Z0,Nimbus Tech Solutions Pvt Ltd,5100,160800,14472,14472,0,189744
NIM/26-27/1043,28-06-2026,29TIZCF2290F3Z0,Nimbus Tech Solutions Pvt Ltd,5100,617500,55575,55575,0,728650
NIM/26-27/1044,16-06-2026,29TIZCF2290F3Z0,Nimbus Tech Solutions Pvt Ltd,5100,37100,3339,3339,0,43778
NIM/26-27/1051,18-06-2026,29TIZCF2290F3Z0,Nimbus Tech Solutions Pvt Ltd,5100,150200,13518,13518,0,177236
ORB/26-27/1000,19-06-2026,09WMYCT4763F3Z8,Orbit Engineering Services,6004,274800,0,0,49464,324264
ORB/26-27/1001,13-06-2026,09WMYCT4763F3Z8,Orbit Engineering Services,6004,162700,0,0,29286,191986
PIO/26-27/1003,04-06-2026,24KVECB9325F4ZB,Pioneer Telecom Pvt Ltd,6009,377700,0,0,67986,445686
PIO/26-27/1007,26-06-2026,36JDVCC3793Y1ZM,Pioneer Telecom Pvt Ltd,6009,400700,0,0,72126,472826
PIO/26-27/1008,15-06-2026,09JOUCP7811C6ZX,Pioneer Telecom Pvt Ltd,6009,348300,0,0,62694,410994
PIO/26-27/1011,04-06-2026,36JDVCC3793Y1ZM,Pioneer Telecom Pvt Ltd,6009,534600,0,0,96228,630828
PIO/26-27/1016,25-06-2026,36JDVCC3793Y1ZM,Pioneer Telecom Pvt Ltd,6009,227000,0,0,40860,267860
PIO/26-27/1040,10-06-2026,36JDVCC3793Y1ZM,Pioneer Telecom Pvt Ltd,6009,55900,0,0,10062,65962
STE/26-27/1009,21-06-2026,29ZPUCT0882Z9ZU,Sterling Estates & Holdings Pvt Ltd,6000,49500,4455,4455,0,58410
STE/26-27/1012,15-06-2026,29EZHCD0667Y1ZZ,Stellar Stationers & Supplies,6006,666800,60012,60012,0,786824
STE/26-27/1021,23-06-2026,29ZPUCT0882Z9ZU,Sterling Estates & Holdings Pvt Ltd,6000,372900,33561,33561,0,440022
STE/26-27/1022,02-06-2026,32OXWCJ7267A2ZN,Stellar Stationers & Supplies,6006,584400,52596,52596,0,689592
STE/26-27/1025,13-06-2026,29EZHCD0667Y1ZZ,Stellar Stationers & Supplies,6006,359300,32337,32337,0,423974
STE/26-27/1031,03-06-2026,29EZHCD0667Y1ZZ,Stellar Stationers & Supplies,6006,53200,4788,4788,0,62776
STE/26-27/1042,19-06-2026,29ZPUCT0882Z9ZU,Sterling Estates & Holdings Pvt Ltd,6000,343700,30933,30933,0,405566
STE/26-27/1045,15-06-2026,29EZHCD0667Y1ZZ,Stellar Stationers & Supplies,6006,531200,47808,47808,0,626816
STE/26-27/1048,25-06-2026,29EZHCD0667Y1ZZ,Stellar Stationers & Supplies,6006,201200,18108,18108,0,237416
VER/26-27/1030,06-06-2026,29TESCG5999C3ZZ,Vertex Facility Management Pvt Ltd,6005,545300,49077,49077,0,643454
VER/26-27/1035,03-06-2026,29TESCG5999C3ZZ,Vertex Facility Management Pvt Ltd,6005,353100,31779,31779,0,416658
VER/26-27/1038,26-06-2026,29TESCG5999C3ZZ,Vertex Facility Management Pvt Ltd,6005,383000,34470,34470,0,451940
ZEN/26-27/1006,17-06-2026,19PZLCK7985V6ZW,Zenith Software Labs Pvt Ltd,5102,211100,0,0,37998,249098
ZEN/26-27/1024,26-06-2026,19PZLCK7985V6ZW,Zenith Software Labs Pvt Ltd,5102,481200,0,0,86616,567816
ZEN/26-27/1028,04-06-2026,19PZLCK7985V6ZW,Zenith Software Labs Pvt Ltd,5102,684400,0,0,123192,807592
ZEN/26-27/1037,14-06-2026,19PZLCK7985V6ZW,Zenith Software Labs Pvt Ltd,5102,159200,0,0,28656,187856
ZEN/26-27/1046,04-06-2026,19PZLCK7985V6ZW,Zenith Software Labs Pvt Ltd,5102,634500,0,0,114210,748710
ZEN/26-27/1047,20-06-2026,19PZLCK7985V6ZW,Zenith Software Labs Pvt Ltd,5102,442800,0,0,79704,522504
ZEN/26-27/1049,25-06-2026,36FINCQ2780G4ZE,Zenith Software Labs Pvt Ltd,5102,398300,0,0,71694,469994
